Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.56863	170.16373	758.0	0.0	15.1	45.3	151.0	0.0	580.96075	1000.0	0.0	0.0	4007.0	0.06678333333333333	30001.0	55.214542	25.01589	94.23251	-43.083103	55.205467	25.039661	95.269684	-44.200375	1.8584716	3.5848458	32.526115	-7.992117	-1.2070676	0.66766286	24.520678	-11.10554	-53.847084	1.2328947	1.1441995	0.054952633	3.2070668	0.0	1.0	0.015137685	-2.1681838	1.8872349	1.2070668	9.27792	467.91455	468.99019956588745
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6969695	31.839067	183.0	0.0	93.1	279.30002	931.0	0.0	891.2121	1000.0	0.0	0.0	4228.0	0.04697777777777778	60001.0	94.38348	11.859231	117.51912	-69.07328	94.383514	11.851625	119.506805	-53.486446	2.0007305	5.8974223	51.738472	-6.0287576	-1.2276487	0.5425615	8.645239	-9.600258	-92.5132	1.5943992	1.7465689	0.06501968	3.2276497	0.0	1.0	0.005918988	-0.84393406	0.8339999	1.2276497	9.875481	464.46252	933.4530539512634
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.129032	68.11127	242.0	0.0	200.2	308.64243	775.0	0.0	980.0	1000.0	0.0	0.0	5365.0	0.044708333333333336	90001.0	111.55674	9.269495	126.7616	-61.47163	111.55645	9.253621	134.17651	-62.247997	2.0002575	6.9698634	70.68481	-2.0880601	-1.2710235	0.45832607	16.656742	-10.048173	-110.27237	0.923812	1.1374246	0.077442005	3.2710235	0.0	1.0	0.002356677	-1.7667586	0.26331723	1.2710238	9.702336	463.1905	1396.637963294983
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.625	57.605743	256.0	0.0	0.0	0.0	0.0	0.0	953.0	1000.0	0.0	0.0	6360.0	0.0424	120001.0	118.28559	8.90563	129.72166	-63.153996	118.28553	8.891059	136.08183	-55.327408	2.0009537	6.7731614	66.61857	-3.4794269	-1.2904732	0.41680366	25.069256	-11.482371	-117.30109	0.73853004	0.89645064	0.12187599	3.290474	0.0	1.0	0.0018568233	-2.7677228	0.15034276	1.290474	9.538444	463.46167	1860.0894358158112
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.333334	51.72707	273.0	0.0	0.0	0.0	0.0	0.0	976.56665	1000.0	0.0	0.0	7037.0	0.039094444444444446	150001.0	122.16088	7.913964	131.26575	-71.15561	122.16082	7.8981	139.9954	-87.07601	1.9868526	7.1338706	71.45004	-1.5956188	-1.3061059	0.37919325	14.097244	-10.588566	-121.560135	0.57648706	0.72277534	0.14773104	3.3061066	0.0	1.0	2.0654543e-06	-12.975102	0.00017234741	1.3061066	10.305946	463.5706	2323.675232410431
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.935484	22.874037	82.0	0.0	0.0	0.0	0.0	0.0	972.6129	1000.0	0.0	0.0	7307.0	0.034795238095238094	180001.0	124.57668	6.951029	132.79283	-69.32861	124.57668	6.9343157	149.33304	-88.111145	1.9745725	7.176028	72.994576	-39.321873	-1.3150295	0.35461724	17.094677	-9.294113	-124.21385	0.52036166	0.653659	0.19183955	3.3150291	0.0	1.0	3.1180063e-12	-24.917154	1.5777209e-10	1.3150291	9.47082	462.49673	2786.1565256118774
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.4	99.86511	481.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	0.0	0.0	8759.0	0.03649583333333333	210001.0	126.46739	6.088069	135.09952	-94.84458	126.46739	6.071977	146.03348	-77.58436	1.9742296	6.857261	73.43377	-2.7712927	-1.3196337	0.34204528	10.473565	-8.505509	-126.26503	0.44610316	0.55969214	0.1846286	3.319633	0.0	1.0	2.235609e-14	-27.808836	8.599209e-13	1.3196332	8.93412	461.87292	3248.0286288261414
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.3	37.60332	184.0	0.0	410.9	396.36157	892.0	0.0	1000.0	1000.0	0.0	0.0	9308.0	0.034474074074074074	240001.0	127.60615	5.389322	133.45415	-76.94887	127.606026	5.3765707	139.92152	-76.04633	1.9672846	6.810756	78.35359	-4.2916794	-1.3251971	0.32725817	9.51293	-11.087399	-127.59527	0.39535785	0.48048618	0.20519938	3.3251965	0.0	1.0	1.4329658e-14	-28.468184	4.3898872e-13	1.3251965	9.305915	462.0127	3710.0428812503815
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.903225	41.5198	130.0	0.0	230.1	321.39398	964.0	0.0	972.4839	1000.0	0.0	0.0	10204.0	0.03401333333333333	270001.0	128.39241	4.986579	135.57317	-76.18809	128.3924	4.9776077	140.58134	-71.58078	1.9716936	6.4672585	72.4113	-1.0884045	-1.3279948	0.3189111	9.229166	-7.9125576	-128.45425	0.35979128	0.41684577	0.19683404	3.3279958	0.0	1.0	8.12969e-15	-28.870926	2.9061668e-13	1.3279955	9.233325	462.27274	4172.332495927811
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.387096	50.879795	207.0	0.0	3.8	11.4	38.0	0.0	967.80646	1000.0	0.0	0.0	11022.0	0.0334	300001.0	128.8944	4.597344	134.80208	-58.054943	128.89418	4.5829773	139.93901	-76.63519	1.9666502	6.3605447	67.88381	-1.3181791	-1.329651	0.31415573	7.3766146	-9.3665495	-129.12712	0.35664782	0.424978	0.19731675	3.3296516	0.0	1.0	7.1549364e-15	-29.165709	2.1622732e-13	1.3296516	9.666163	463.5555	4635.892263412476
