Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	2.8510015	0.37627342	3.7042856	2.2183766	0.0	0.0	0.0	0.0	6.266667	30.909475	172.0	0.0	4.8	14.400001	48.0	0.0	1000.0	1000.0	0.0	0.0	5202.0	0.01445	330001.0	120.05484	13.106123	132.00519	-46.518032	120.05459	13.106851	132.67072	-43.775517	0.39987424	2.8625488	48.399395	-1.1023469	-1.2619102	0.51243436	7.4387145	-7.764511	-119.17758	4.0999713	4.0714383	0.024608456	3.2619102	0.0	1.0	1.300028e-13	-27.369093	1.3241618e-12	1.2619102	12.342357	227.39555	2648.152174472809
12	2.8741815	0.31833506	3.6722074	2.3917646	0.0	0.0	0.0	0.0	17.766666	62.063244	290.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	0.0	0.0	5735.0	0.014705128205128206	360001.0	120.63383	12.238589	131.46407	-46.375565	120.63359	12.23898	131.86145	-43.382046	0.38827282	2.9168992	46.18622	-1.094965	-1.2702327	0.49146837	7.9544163	-7.690433	-119.675026	3.9441848	3.9182394	0.025242424	3.2702332	0.0	1.0	8.7003626e-14	-27.910748	7.6212723e-13	1.2702328	13.083359	227.9364	2876.0846757888794
13	2.5602012	0.6720758	3.214216	0.061625008	0.0	0.0	0.0	0.0	3.09375	15.849605	91.0	0.0	0.0	0.0	0.0	0.0	939.65625	1000.0	0.0	0.0	5834.0	0.013890476190476191	390001.0	120.666695	11.738348	131.38286	-60.6419	120.66672	11.729698	131.29643	-40.92617	0.3918114	3.0421944	48.099255	-0.7912649	-1.2747748	0.48396116	6.616036	-9.617895	-119.47387	3.80645	3.7873414	0.028266663	3.274775	0.0	1.0	5.951216e-14	-28.225863	5.535464e-13	1.274775	11.770347	227.02696	3103.1088132858276
14	2.7146454	0.4377192	3.5931222	0.7674995	0.0	0.0	0.0	0.0	11.266666	44.89167	239.0	0.0	83.7	251.09999	837.0	0.0	977.93335	1000.0	0.0	0.0	6172.0	0.013715555555555555	420001.0	120.79413	12.154694	132.64587	-38.99751	120.79383	12.1517	130.79324	-37.807854	0.3560519	2.8605924	49.24943	-1.0617812	-1.2841411	0.46549156	13.298842	-7.0458775	-119.9677	3.4846327	3.4691367	0.028729284	3.284141	0.0	1.0	5.951263e-14	-28.51058	4.1626536e-13	1.2841413	12.266715	228.4787	3331.5978496074677
15	2.736772	0.46050987	3.2970333	0.5608071	0.0	0.0	0.0	0.0	8.5161295	30.88885	155.0	0.0	0.0	0.0	0.0	0.0	976.29034	1000.0	0.0	0.0	6436.0	0.013408333333333333	450001.0	121.24705	12.072372	130.99356	-43.781216	121.247055	12.073142	130.70496	-52.00552	0.34586608	2.7157621	45.768547	-0.7322416	-1.2849851	0.4642919	9.728457	-8.525066	-120.734566	3.2045765	3.1904712	0.03084436	3.2849844	0.0	1.0	4.9155548e-14	-28.774637	3.1936124e-13	1.2849845	12.035586	228.30148	3559.8992941379547
16	2.7817492	0.7873177	3.8451831	0.014254979	0.0	0.0	0.0	0.0	3.625	20.183146	116.0	0.0	0.0	0.0	0.0	0.0	943.4375	1000.0	0.0	0.0	6552.0	0.012847058823529411	480001.0	122.40354	11.035611	132.0003	-44.839138	122.40341	11.035369	131.74179	-45.82026	0.30964765	2.3234975	45.57529	-0.7577475	-1.2969061	0.43795288	6.4550624	-9.057558	-122.5493	3.0984192	3.0991442	0.031944335	3.2969058	0.0	1.0	4.808642e-14	-29.010418	2.5229975e-13	1.296906	12.184776	227.86562	3787.777465581894
17	2.906142	0.31410208	3.8419898	2.3645058	0.0	0.0	0.0	0.0	8.233334	34.540493	184.0	0.0	94.8	284.40002	948.0	0.0	1000.0	1000.0	0.0	0.0	6799.0	0.012590740740740741	510001.0	123.0322	10.295247	132.38963	-26.434313	123.03206	10.287	133.7462	-29.20425	0.33057097	2.5597517	47.375854	-0.77721214	-1.3021758	0.42219564	8.477333	-8.518923	-122.8074	3.0623267	3.0809252	0.03178032	3.302176	0.0	1.0	3.50909e-14	-29.204264	2.0760741e-13	1.3021761	12.0315895	227.77591	4015.549332141876
18	2.9143758	0.3621368	3.6876078	2.186807	0.0	0.0	0.0	0.0	1.9666667	10.590824	59.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	0.0	0.0	6858.0	0.012031578947368421	540001.0	123.13284	10.860696	132.62238	-34.551525	123.132805	10.854697	132.48018	-30.453403	0.30254912	2.530892	50.633205	-0.88302636	-1.303817	0.4135371	7.233857	-9.451625	-122.983986	2.574068	2.5910318	0.031902455	3.3038166	0.0	1.0	3.459847e-14	-29.371655	1.756009e-13	1.3038168	11.409563	226.72382	4242.252242565155
19	2.739401	0.65698767	3.4369762	0.29578862	0.0	0.0	0.0	0.0	7.875	43.846146	252.0	0.0	83.4	250.2	834.0	0.0	948.71875	1000.0	0.0	0.0	7110.0	0.01185	570001.0	123.71352	10.537126	132.69978	-26.34986	123.71337	10.535165	133.6049	-35.257866	0.28530502	2.4222758	50.34966	-1.1902218	-1.3063729	0.40565798	5.7031364	-7.634474	-123.721634	2.4011495	2.412229	0.030027527	3.306373	0.0	1.0	3.2062592e-14	-29.532812	1.4944708e-13	1.306373	12.087976	227.70865	4469.960606575012
20	2.8553646	0.5150665	3.4334855	0.51604724	0.0	0.0	0.0	0.0	9.1	23.685932	101.0	0.0	0.0	0.0	0.0	0.0	974.93335	1000.0	0.0	0.0	7383.0	0.011719047619047619	600001.0	123.941864	10.390872	134.0283	-27.926445	123.941795	10.39019	134.31105	-27.504631	0.28642976	2.3634708	53.88718	-0.925658	-1.3116605	0.39180326	6.628318	-8.484697	-124.06482	2.2740593	2.2814708	0.032908957	3.311661	0.0	1.0	2.7641841e-14	-29.678238	1.2918925e-13	1.3116605	12.396454	227.34143	4697.297660112381
